Name,City,State,Country,Type,Holes,Clips
Cape Girardeau Country Club,Cape Girardeau,,US,Public,18,0
Cape Jaycee Municipal Golf Course,Cape Girardeau,,US,Public,18,0
Captain's Cove Golf and Yacht Club,Greenbackville,,US,Public,18,0
Cardinal Hills Golf Course,Selma,,US,Public,18,0
Carillon Golf Course,Plainfield,,US,Public,18,0
Carmel Country Club,Charlotte,,US,Public,18,0
Carolina Lakes Golf Club,Sanford,,US,Public,18,0
Carolina Pines Golf and Country Club,New Bern,,US,Public,18,0
Carolina Plantation Golf Club,Lumberton,,US,Public,18,0
Carroll County Country Club,Delphi,,US,Public,18,0
Carroll Municipal Golf Course,Carroll,,US,Public,18,0
Carrollton Park DGC,Bridgeton,,US,Public,18,0
Carson Valley Golf Course,Gardnerville,,US,Public,18,0
Cassville Golf Club,Cassville,,US,Public,18,0
Catawba Country Club,Newton,,US,Public,18,0
Cathedral Canyon Golf Club,Rancho Mirage,,US,Public,18,0
Catta Verdera Country Club,Lincoln,,US,Private,18,0
Cavalier Golf & Yacht Club,Virginia Beach,,US,Public,18,0
Cedar Crest Golf Club,Murfreesboro,,US,Public,18,0
Cedar Glen Golf Club,New Baltimore,,US,Public,18,0
Cedar Hills Golf Club,Cedar Hills,,US,Public,18,0
Cedar Pointe Golf Course,Boone,,US,Public,18,0
Cedar Ridge Country Club,Broken Arrow,,US,Public,18,0
Cedar Valley Golf Center,Waterloo,,US,Public,18,0
Cedarbrook Golf Course,Iola,,US,Public,18,0
Champions Trace,Nicholasville,,US,Public,18,0
Champlain Country Club,Swanton,,US,Public,18,0
Chardon Lakes Golf Course,Chardon,,US,Public,18,0
Charles River Country Club,Newton Centre,,US,Public,18,0
Charleston Municipal Golf Course,Charleston,,US,Public,18,0
Charlotte National Golf Club,Indian Trail,,US,Public,18,0
Charwood Country Club,West Columbia,,US,Public,18,0
Chateau Golf & Country Club,Kenner,,US,Public,18,0
Chennault Park Golf Course,Monroe,,US,Public,18,0
Cherokee Golf and Country Club,Cherokee,,US,Public,18,0
Cherokee National Golf & Recreation Club,Gaffney,,US,Public,18,0
Cherokee Valley Golf Course,Olive Branch,,US,Public,18,0
Cherry Blossom Golf Club,Georgetown,,US,Public,18,0
Cherry Hill Country Club,Richwood,,US,Public,18,0
Cherry Hill Golf Resort,Sturgeon Bay,,US,Public,18,0
Cherry Oaks Golf Course,Cheney,,US,Public,18,0
Chesapeake Bay Golf Club North East Course,North East,,US,Public,18,0
Chesapeake Hills Golf Course,Lusby,,US,Public,18,0
Chestnut Hills Golf Club,Fort Wayne,,US,Public,18,0
Chestnut Ridge Golf Resort & Conference Center,Blairsville,,US,Public,18,0
Chicopee Country Club,Chicopee,,US,Public,18,0
Chicora Golf Club,Dunn,,US,Public,18,0
Chiefland Golf & Country Club,Chiefland,,US,Public,18,0
Chillicothe Country Club,Chillicothe,,US,Public,18,0
Christiana Creek Country Club,Elkhart,,US,Public,18,0
Citrus Hills Golf & Country Club,Citrus Hills,,US,Public,18,0
Citrus Springs Golf & Country Club,Citrus Springs,,US,Public,18,0
Clanton Country Club,Clanton,,US,Public,18,0
Claremont Golf Club,Portland,,US,Public,18,0
Clarinda Country Club,Clarinda,,US,Public,18,0
Clarksburg Country Club,Clarksburg,,US,Public,18,0
Clear Creek Golf Center,Shelbyville,,US,Public,18,0
Cleveland Country Club,Cleveland,,US,Public,18,0
Clewiston Golf Course,Clewiston,,US,Public,18,0
Clifton Highlands Golf Club,Prescott,,US,Public,18,0
Clintonville Riverside Golf Course,Clintonville,,US,Public,18,0
Cloquet Country Club,Cloquet,,US,Public,18,0
Club at Boca Pointe,Boca Raton,,US,Private,18,0
Club at Pelican Bay North Course,Daytona Beach,,US,Public,18,0
Club at Pelican Bay South Course,Daytona Beach,,US,Public,18,0
CNC Links,Manitowoc,,US,Public,18,0
Coastal Pines Golf Course,Brunswick,,US,Public,18,0
Cobblestone Creek Golf Course,Norman,,US,Public,18,0
Coco Beach Golf & Country Club,Río Grande,,US,Public,18,0
